id,web_name,team,element_type,goals_scored,assists,goal_involvement,minutes,total_points,now_cost
364,Amad,14,3,8,8,16,1898,129,53
365,Antony,14,3,0,0,0,135,8,57
366,B.Fernandes,14,3,8,12,20,3017,174,84
367,Bayindir,14,1,0,0,0,360,8,43
368,Casemiro,14,3,1,0,1,1489,48,46
369,Dalot,14,2,0,4,4,2812,95,50
370,Eriksen,14,3,1,2,3,1052,45,52
371,Evans,14,2,0,0,0,312,15,44
372,Garnacho,14,3,6,4,10,2188,106,59
373,Hannibal,14,3,0,0,0,0,0,45
374,Heaton,14,1,0,0,0,0,0,39
375,Højlund,14,4,4,1,5,1998,78,69
376,Lindelof,14,2,0,0,0,695,27,43
377,Maguire,14,2,1,0,1,1751,48,49
378,Mainoo,14,3,0,0,0,1646,42,52
379,Malacia,14,2,0,0,0,99,2,44
380,Martinez,14,2,2,1,3,1751,68,43
381,McTominay,14,3,0,0,0,17,2,49
382,Mount,14,3,1,0,1,613,25,63
383,Onana,14,1,0,0,0,3060,120,49
384,Pellistri,14,3,0,0,0,0,0,50
387,Shaw,14,2,0,0,0,346,5,49
389,Zirkzee,14,4,3,2,5,1385,64,65
572,Yoro,14,2,0,0,0,1160,22,43
593,De Ligt,14,2,2,0,2,2119,68,48
594,Mazraoui,14,2,0,1,1,2836,88,42
613,Collyer,14,3,0,0,0,174,6,45
648,Wheatley,14,4,0,0,0,0,0,45
652,Ugarte,14,3,1,2,3,1777,49,49
658,Heaven,14,2,0,0,0,169,10,40
667,Fletcher,14,3,0,0,0,0,0,45
670,Amass,14,2,0,0,0,345,4,40
673,Fitzgerald,14,3,0,0,0,0,0,45
691,Kukonki,14,2,0,0,0,0,0,40
745,Amorim,14,5,0,0,0,0,86,8
761,Harrison,14,1,0,0,0,0,0,40
766,Dorgu,14,2,0,0,0,840,18,45
776,Obi,14,4,0,0,0,160,7,45
777,Fredricson,14,2,0,0,0,166,2,40
778,Moorhouse,14,3,0,0,0,0,0,45
779,Koné,14,3,0,0,0,0,0,45
783,Graczyk,14,1,0,0,0,0,0,40
788,Dermot Mee,14,1,0,0,0,0,0,40
390,A.Murphy,15,2,0,0,0,0,0,40
391,Almirón,15,3,0,0,0,150,10,54
392,Barnes,15,3,9,5,14,1746,130,59
393,Botman,15,2,0,0,0,412,18,44
