can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,545477,0,0,0,0,0,2,0.0,0.0,0,Alex,0.0,390,False,Loaned to Bolton Wanderers,2025-01-22T10:15:51.022032Z,40,545477.jpg,0.0,False,Murphy,0.5,False,,u,15,4,0,83269,0,127160,0,0.0,0.0,A.Murphy,104.0,2023-07-19,,False,p545477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,635,231,623,230,584,221,635,231,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,698,207,503,186,642,230,262,102,0.0,0.0,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,179018,0,0,-6,6,0,3,0.0,0.0,0,Miguel,0.0,391,False,Loaned to Atlanta United,2025-02-03T10:23:53.692418Z,54,179018.jpg,1.1,False,Almirón Rejala,0.3,False,,u,15,4,10,42668,0,118851,0,0.0,1.9,Almirón,168.0,2019-01-31,,False,p179018,150,0,0,0,3,0,0,0,0,0,0,0,36,15.2,40.9,57.0,11.3,1,0.52,0.19,0.71,3.67,0,0,0,0,0,0,0,492,227,380,206,328,180,433,203,,,,,,,0.31,0.0,0.11,0.42,2.2,1.8,128,78,771,329,451,212,313,96,0.6,0.0,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,201666,0,0,-6,6,1,3,3.0,2.7,2,Harvey,2.2,392,False,,2025-01-12T22:00:08.256604Z,59,201666.jpg,3.9,False,Barnes,4.2,False,,a,15,4,130,1423799,0,1039084,0,0.4,22.0,Barnes,241.0,2023-07-23,1997-12-09,False,p201666,1746,9,5,6,23,0,0,0,0,0,0,13,442,522.2,407.1,701.0,163.1,17,6.45,4.40,10.85,24.32,0,0,0,0,0,0,0,130,50,96,75,36,21,62,43,,,,,,,0.33,0.0,0.23,0.56,1.25,1.19,80,52,182,79,56,27,90,26,0.88,0.31,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,220237,0,0,-1,1,0,2,1.7,3.0,6,Sven,2.5,393,False,,2025-05-11T23:00:09.195752Z,44,220237.jpg,2.2,False,Botman,0.0,False,,a,15,4,18,17061,0,15616,0,0.6,4.1,Botman,152.0,2022-06-28,2000-01-12,False,p220237,412,0,0,2,4,0,0,0,1,0,0,0,95,110.4,28.4,96.0,23.6,6,0.59,0.22,0.81,5.07,0,0,0,0,0,0,0,387,135,410,146,278,83,385,133,,,,,,,0.13,0.0,0.05,0.18,1.11,0.87,512,94,157,45,251,81,561,195,1.31,0.44,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,208706,0,0,-3,3,1,3,4.0,3.7,2,Bruno,3.2,394,False,,2024-11-26T02:30:08.074203Z,62,208706.jpg,3.6,False,Guimarães Rodriguez Moura,3.0,False,,a,15,4,135,590334,0,632726,0,0.5,21.8,Bruno G.,30.0,2022-01-30,1997-11-16,False,p208706,3273,5,6,13,44,0,0,0,7,0,0,10,661,723.0,796.0,454.0,197.5,38,4.34,5.32,9.66,43.41,0,0,0,0,0,0,0,55,14,21,17,70,44,35,27,,,,,,,0.12,0.0,0.15,0.27,1.19,1.21,58,31,112,48,84,38,112,36,1.04,0.36,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,78916,0,0,1,-1,2,2,7.3,4.5,2,Dan,4.0,395,False,,2025-02-10T09:30:07.448812Z,46,78916.jpg,3.1,False,Burn,12.6,False,,a,15,4,115,1915239,0,2106902,0,0.9,25.0,Burn,241.0,2022-01-31,1992-05-09,False,p78916,3330,1,1,13,45,2,0,0,11,0,0,9,476,736.6,123.6,297.0,115.8,37,1.97,1.09,3.06,45.22,0,0,0,0,0,0,0,47,19,274,77,117,10,122,29,,,,,,,0.05,0.0,0.03,0.08,1.22,1.22,347,48,62,17,134,37,33,12,1.0,0.35,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,67089,0,0,-5,5,1,1,0.5,0.5,0,Martin,0.0,396,False,,2024-10-02T00:30:05.687323Z,40,67089.jpg,4.4,False,Dúbravka,1.3,False,,a,15,4,44,438818,0,436352,0,0.0,11.0,Dúbravka,194.0,2018-07-01,1989-01-15,False,p67089,900,0,0,5,12,0,0,0,0,0,29,2,160,220.2,0.0,0.0,22.0,10,0.00,0.00,0.00,11.19,0,0,0,0,0,0,0,288,27,575,46,534,27,391,27,,,,,,,0.0,2.9,0.0,0.0,1.12,1.2,638,42,451,49,25,4,176,25,1.0,0.5,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,232826,0,0,-1,1,1,3,2.3,2.3,1,Anthony,1.8,398,False,,2025-03-03T01:00:07.799534Z,74,232826.jpg,3.6,False,Gordon,8.0,False,,a,15,4,124,3569855,0,5263072,0,0.2,16.8,Gordon,241.0,2023-01-29,2001-02-24,False,p232826,2428,6,6,10,33,0,0,1,2,0,0,9,476,537.0,777.3,655.0,196.8,28,8.19,4.80,12.99,32.62,0,0,0,0,0,0,0,125,47,26,22,44,26,36,28,3.0,,,,3.0,,0.3,0.0,0.18,0.48,1.21,1.22,19,13,225,104,87,40,48,14,1.04,0.37,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,487838,0,0,2,-2,2,2,0.0,0.0,0,Lewis,0.0,399,False,Foot injury - Expected back 01 Jun,2025-03-03T01:00:07.813261Z,47,487838.jpg,3.8,False,Hall,4.4,False,,i,15,4,102,3442627,0,3549842,0,0.0,21.7,Hall,241.0,2024-07-01,2004-09-08,False,p487838,2188,0,7,8,31,0,0,0,3,0,0,11,443,561.6,561.2,128.0,125.3,24,0.43,3.73,4.16,29.73,0,0,0,0,0,0,0,114,44,63,10,243,66,103,18,2.0,,,,,,0.02,0.0,0.15,0.17,1.22,1.28,337,45,705,255,61,6,86,30,0.99,0.33,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,153127,0,0,-1,1,0,3,0.0,0.0,0,Isaac,0.0,400,False,Loaned to Portsmouth,2025-01-17T11:53:46.314664Z,44,153127.jpg,0.0,False,Hayden,0.1,False,,u,15,4,0,11061,0,14879,0,0.0,0.0,Hayden,107.0,2016-07-11,,False,p153127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,671,257,665,258,637,247,671,257,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,504,313,567,199,678,260,534,202,0.0,0.0,4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
